Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2021-12-01,161.9364013671875,181.14990234375,172.18600463867188,143.4378204345703,188.19000244140625,178.9054412841797,249.71070861816406,49.46684265136719,98.71678161621094,140.4153594970703,345.41290283203125,368.5939025878906,186.1645965576172,101.74429321289062,143.75808715820312,143.5322723388672,47.434104919433594,226.70901489257812,124.19837951660156,67.07317352294922,321.0919189453125,158.9855499267578,31.37991714477539,134.27194213867188,321.192138671875,135.41358947753906,422.36309814453125,185.5128631591797,39.85441589355469,43.509517669677734
2021-12-02,160.9437713623047,181.48367309570312,171.8679962158203,149.85171508789062,202.3800048828125,183.87631225585938,259.3417053222656,50.4736213684082,101.39383697509766,145.4037322998047,355.5602111816406,375.359619140625,190.44017028808594,101.72688293457031,142.85780334472656,146.55035400390625,48.13246536254883,230.9984588623047,123.85649108886719,66.57760620117188,320.5180358886719,162.1328125,32.0697135925293,135.06068420410156,329.6549987792969,139.76974487304688,423.9599609375,193.44418334960938,40.62315368652344,42.97969055175781
2021-12-03,159.05677795410156,182.62937927246094,169.489501953125,149.05831909179688,198.49000549316406,184.820068359375,256.482177734375,50.545536041259766,100.75098419189453,144.43569946289062,351.1470642089844,375.396484375,189.973388671875,103.41509246826172,144.94032287597656,143.89588928222656,48.55873489379883,231.49053955078125,125.55143737792969,66.08203887939453,314.2144775390625,162.653564453125,30.63922119140625,137.46365356445312,332.30450439453125,138.8389434814453,428.48974609375,191.5223388671875,41.17568588256836,43.62690734863281
2021-12-06,162.47694396972656,188.3579864501953,171.36849975585938,153.589111328125,205.8800048828125,188.07167053222656,256.9091491699219,51.20172882080078,102.32730102539062,148.53504943847656,357.1749572753906,382.6594543457031,192.54063415527344,104.34620666503906,148.17782592773438,145.59584045410156,49.8012809753418,237.48834228515625,128.905029296875,66.15411376953125,317.307861328125,161.38284301757812,29.98436737060547,139.5456085205078,331.07196044921875,141.3148956298828,438.779541015625,197.72689819335938,40.89542007446289,44.09962844848633
2021-12-07,168.23614501953125,190.64041137695312,176.1645050048828,159.5824432373047,208.8300018310547,191.071044921875,265.0904541015625,52.20851516723633,103.8419418334961,148.9696807861328,367.0928649902344,383.1012268066406,193.38076782226562,105.79945373535156,148.55970764160156,147.78672790527344,50.073360443115234,241.3135528564453,128.4321746826172,65.1269302368164,325.8002014160156,163.65676879882812,32.370182037353516,139.17868041992188,331.69305419921875,142.49700927734375,443.18536376953125,202.30227661132812,40.671207427978516,43.95686340332031
2021-12-08,172.06910705566406,192.6341552734375,176.1580047607422,161.47506713867188,211.02999877929688,190.7907257080078,264.4153137207031,51.255672454833984,104.30867004394531,151.4687957763672,364.5331726074219,378.5630798339844,191.04696655273438,107.05254364013672,149.45095825195312,146.09584045410156,49.882896423339844,241.0071258544922,128.06117248535156,65.96488952636719,325.8487854003906,162.6630859375,31.770233154296875,139.80239868164062,332.1298522949219,143.04617309570312,447.1239013671875,203.88272094726562,40.43097686767578,43.512691497802734
2021-12-09,171.5580596923828,191.76808166503906,174.17100524902344,160.60523986816406,207.55999755859375,190.7346649169922,262.43951416015625,51.73208236694336,104.03567504882812,151.07369995117188,363.7716369628906,378.6459045410156,192.3072052001953,107.53114318847656,150.86961364746094,145.8686065673828,49.75592803955078,243.56967163085938,127.98843383789062,65.64952850341797,324.0296936035156,160.60891723632812,30.436574935913086,140.61866760253906,333.731201171875,143.69210815429688,451.37713623046875,206.22406005859375,40.16672134399414,44.117919921875
2021-12-10,176.3638916015625,190.2525177001953,172.21200561523438,159.658935546875,205.05999755859375,190.108642578125,264.1373291015625,53.26023483276367,104.21179962158203,150.8465118408203,358.7897033691406,382.38323974609375,195.86399841308594,107.9836654663086,150.49676513671875,145.28680419921875,51.04380798339844,246.01145935058594,128.83229064941406,65.43328094482422,333.212646484375,161.5261688232422,30.145084381103516,142.58140563964844,336.24481201171875,144.4036407470703,456.0595397949219,208.1849365234375,40.19074249267578,44.923831939697266
2021-12-13,172.7177734375,190.70355224609375,169.5675048828125,156.09356689453125,197.39999389648438,188.04360961914062,263.8692626953125,52.68492889404297,102.04549407958984,148.59432983398438,352.8995666503906,373.03076171875,195.32252502441406,106.6696548461914,153.18861389160156,143.55953979492188,52.3861198425293,244.26602172851562,126.99909973144531,66.15411376953125,330.15814208984375,159.40505981445312,28.11165428161621,144.60830688476562,335.79833984375,143.4019012451172,455.9736328125,205.8630828857422,40.2628059387207,45.73291778564453
2021-12-14,171.3319854736328,192.8236083984375,169.0915069580078,155.6633758544922,195.5,188.40806579589844,253.7716064453125,51.92985153198242,102.34490203857422,147.28054809570312,356.7345886230469,370.2323913574219,192.94200134277344,107.69648742675781,154.8618927001953,144.65953063964844,52.42239761352539,243.73680114746094,127.10092163085938,67.05461120605469,319.3993225097656,158.02926635742188,28.2873477935791,145.14024353027344,332.6539306640625,146.72531127929688,457.23248291015625,204.84849548339844,40.559104919433594,46.16932678222656
